Bore (mm),OD (mm),Width (mm),Load Rating C10 (kN),Load Rating C0 (kN)
25,62,17,28.6,15.0
30,72,19,36.9,20.0
35,80,21,44.6,27.1
40,90,23,56.1,32.5
45,100,25,72.1,45.4
50,110,27,88.0,52.0
55,120,29,102.0,67.2
60,130,31,123.0,76.5
65,140,33,138.0,85.0
70,150,35,151.0,102.0
75,160,37,183.0,125.0
80,170,39,190.0,125.0
85,180,41,212.0,149.0
90,190,43,242.0,160.0
95,200,45,264.0,189.0
100,215,47,303.0,220.0
110,240,50,391.0,304.0
120,260,55,457.0,340.0
130,280,58,539.0,408.0
140,300,62,682.0,454.0
150,320,65,781.0,502.0
