Nominal Major Diameter d (mm),Pitch p (mm),Tensile-Stress Area At (mm²),Minor-Diameter Area Ar (mm²),Pitch p (mm) (Fine),Tensile-Stress Area At (mm²) (Fine),Minor-Diameter Area Ar (mm²) (Fine)
1.6,0.35,1.27,1.07,,,
2.0,0.4,2.07,1.79,,,
2.5,0.45,3.39,2.98,,,
3.0,0.5,5.03,4.47,,,
3.5,0.6,6.78,6.0,,,
4.0,0.7,8.78,7.75,,,
5.0,0.8,14.2,12.7,,,
6.0,1.0,20.1,17.9,,,
8.0,1.25,36.6,32.8,1.0,39.2,36.0
10.0,1.5,58.0,52.3,1.25,61.2,56.3
12.0,1.75,84.3,76.3,1.25,92.1,86.0
14.0,2.0,115.0,104.0,1.5,125.0,116.0
16.0,2.0,157.0,144.0,1.5,167.0,157.0
20.0,2.5,245.0,225.0,1.5,272.0,259.0
24.0,3.0,353.0,324.0,2.0,384.0,365.0
30.0,3.5,561.0,519.0,2.0,621.0,596.0
36.0,4.0,817.0,759.0,2.0,915.0,884.0
42.0,4.5,1120.0,1050.0,2.0,1260.0,1230.0
48.0,5.0,1470.0,1380.0,2.0,1670.0,1630.0
56.0,5.5,2030.0,1910.0,2.0,2300.0,2250.0
64.0,6.0,2680.0,2520.0,2.0,3030.0,2980.0
72.0,6.0,3460.0,3280.0,2.0,3860.0,3800.0
80.0,6.0,4340.0,4140.0,1.5,4850.0,4800.0
90.0,6.0,5590.0,5360.0,2.0,6100.0,6020.0
100.0,6.0,6990.0,6740.0,2.0,7560.0,7470.0
110.0,,,,2.0,9180.0,9080.0
