Washer Size,Minimum ID,Maximum OD,Maximum Thickness
1.6N,1.95,4.00,0.70
1.6R,1.95,5.00,0.70
1.6W,1.95,6.00,0.90
2N,2.50,5.00,0.90
2R,2.50,6.00,0.90
2W,2.50,8.00,0.90
2.5N,3.00,6.00,0.90
2.5R,3.00,8.00,0.90
2.5W,3.00,10.00,1.20
3N,3.50,7.00,0.90
3R,3.50,10.00,1.20
3W,3.50,12.00,1.40
3.5N,4.00,9.00,1.20
3.5R,4.00,10.00,1.40
3.5W,4.00,15.00,1.75
4N,4.70,10.00,1.20
4R,4.70,12.00,1.40
4W,4.70,16.00,2.30
5N,5.50,11.00,1.40
5R,5.50,15.00,1.75
5W,5.50,20.00,2.30
6N,6.65,13.00,1.75
6R,6.65,18.80,1.75
6W,6.65,25.40,2.30
8N,8.90,18.80,2.30
8R,8.90,25.40,2.30
8W,8.90,32.00,2.80
10N,10.85,20.00,2.30
10R,10.85,28.00,2.80
10W,10.85,39.00,3.50
12N,13.30,25.40,2.80
12R,13.30,34.00,3.50
12W,13.30,44.00,3.50
14N,15.25,28.00,2.80
14R,15.25,39.00,3.50
14W,15.25,50.00,4.00
16N,17.25,32.00,3.50
16R,17.25,44.00,4.00
16W,17.25,56.00,4.60
20N,21.80,39.00,4.00
20R,21.80,50.00,4.60
20W,21.80,66.00,5.10
24N,25.60,44.00,4.60
24R,25.60,56.00,5.10
24W,25.60,72.00,5.60
30N,32.40,56.00,5.10
30R,32.40,72.00,5.60
30W,32.40,90.00,6.40
36N,38.30,66.00,5.60
36R,38.30,90.00,6.40
36W,38.30,110.00,8.50
